index,bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,id,CreatedDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,purchaseDate
0,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,5.0,FINISHED,26.00,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000575,2021-01-03 08:25:31.000,2021-01-03 08:25:31.000,2021-01-03 08:25:31.000,2021-01-03 08:25:36.000,2021-01-03 08:25:31.000,2021-01-02 17:00:00
1,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,2.0,FINISHED,11.00,5ff1e194b6a9d73a3a9f1052,5ff1e1bb0a720f052300056b,2021-01-03 08:24:43.000,2021-01-03 08:24:43.000,2021-01-03 08:24:43.000,2021-01-03 08:24:48.000,2021-01-03 08:24:43.000,2021-01-02 08:24:43
1,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,2.0,FINISHED,11.00,5ff1e194b6a9d73a3a9f1052,5ff1e1bb0a720f052300056b,2021-01-03 08:24:43.000,2021-01-03 08:24:43.000,2021-01-03 08:24:43.000,2021-01-03 08:24:48.000,2021-01-03 08:24:43.000,2021-01-02 08:24:43
2,5.0,All-receipts receipt bonus,5,1.0,REJECTED,10.00,5ff1e1f1cfcf6c399c274b0b,5ff1e1f10a720f052300057a,2021-01-03 08:25:37.000,2021-01-03 08:25:37.000,,2021-01-03 08:25:42.000,,2021-01-02 17:00:00
3,5.0,All-receipts receipt bonus,5.0,4.0,FINISHED,28.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada100056f,2021-01-03 08:25:34.000,2021-01-03 08:25:34.000,2021-01-03 08:25:34.000,2021-01-03 08:25:39.000,2021-01-03 08:25:34.000,2021-01-02 17:00:00
4,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d20a7214ada1000561,2021-01-03 08:25:06.000,2021-01-03 08:25:06.000,2021-01-03 08:25:11.000,2021-01-03 08:25:11.000,2021-01-03 08:25:06.000,2021-01-02 08:25:06
4,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d20a7214ada1000561,2021-01-03 08:25:06.000,2021-01-03 08:25:06.000,2021-01-03 08:25:11.000,2021-01-03 08:25:11.000,2021-01-03 08:25:06.000,2021-01-02 08:25:06
5,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,5ff1e1e40a7214ada1000566,2021-01-03 08:25:24.000,2021-01-03 08:25:24.000,2021-01-03 08:25:25.000,2021-01-03 08:25:30.000,2021-01-03 08:25:25.000,2021-01-02 08:25:24
6,5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,5ff1e1cd0a720f052300056f,2021-01-03 08:25:01.000,2021-01-03 08:25:01.000,2021-01-03 08:25:02.000,2021-01-03 08:25:02.000,2021-01-03 08:25:02.000,2021-01-03 08:25:01
7,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,1.0,FINISHED,10.00,5ff1e194b6a9d73a3a9f1052,5ff1e1a40a720f0523000569,2021-01-03 08:24:20.000,2021-01-03 08:24:20.000,2021-01-03 08:24:21.000,2021-01-03 08:24:21.000,2021-01-03 08:24:21.000,2020-12-26 17:00:00
8,5.0,All-receipts receipt bonus,5.0,5.0,FINISHED,20.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ed0a7214ada100056e,2021-01-03 08:25:33.000,2021-01-03 08:25:33.000,2021-01-03 08:25:34.000,2021-01-03 08:25:38.000,2021-01-03 08:25:34.000,2021-01-02 17:00:00
